date,Open,High,Low,Close,Volume
2015-01-09 09:15:00,8285.45,8303.0,8285.45,8294.15,0
2015-01-09 09:30:00,8294.1,8295.75,8277.4,8285.55,0
2015-01-09 09:45:00,8285.4,8287.65,8273.95,8282.0,0
2015-01-09 10:00:00,8281.8,8287.35,8274.95,8281.55,0
2015-01-09 10:15:00,8281.5,8291.1,8277.95,8290.45,0
2015-01-09 10:30:00,8290.6,8291.45,8280.45,8281.35,0
2015-01-09 10:45:00,8281.3,8288.2,8279.1,8285.7,0
2015-01-09 11:00:00,8285.75,8288.85,8279.9,8282.35,0
2015-01-09 11:15:00,8282.55,8283.2,8262.85,8264.75,0
2015-01-09 11:30:00,8264.65,8264.75,8250.2,8255.65,0
2015-01-09 11:45:00,8255.95,8260.7,8253.3,8259.1,0
2015-01-09 12:00:00,8259.2,8260.3,8191.1,8221.85,0
2015-01-09 12:15:00,8222.85,8226.9,8208.9,8214.7,0
2015-01-09 12:30:00,8214.85,8219.5,8198.4,8213.5,0
2015-01-09 12:45:00,8214.5,8270.4,8205.7,8265.85,0
2015-01-09 13:00:00,8265.8,8272.6,8245.85,8245.85,0
2015-01-09 13:15:00,8246.7,8249.45,8228.55,8242.15,0
2015-01-09 13:30:00,8242.0,8251.65,8236.55,8244.1,0
2015-01-09 13:45:00,8244.45,8245.35,8204.75,8216.45,0
2015-01-09 14:00:00,8216.95,8240.5,8208.75,8225.2,0
2015-01-09 14:15:00,8224.75,8250.0,8224.75,8240.1,0
2015-01-09 14:30:00,8240.0,8257.3,8230.65,8252.55,0
2015-01-09 14:45:00,8252.4,8280.7,8249.3,8266.65,0
2015-01-09 15:00:00,8268.95,8296.35,8266.65,8285.7,0
2015-01-09 15:15:00,8286.3,8288.05,8278.05,8280.25,0
2015-01-12 09:15:00,8291.35,8291.35,8245.6,8265.6,0
2015-01-12 09:30:00,8265.7,8271.25,8256.35,8271.1,0
2015-01-12 09:45:00,8271.05,8287.6,8265.1,8285.9,0
2015-01-12 10:00:00,8285.8,8292.7,8273.45,8284.1,0
2015-01-12 10:15:00,8283.5,8297.3,8283.1,8293.35,0
2015-01-12 10:30:00,8292.75,8294.1,8280.8,8285.7,0
2015-01-12 10:45:00,8285.8,8290.65,8277.05,8284.35,0
2015-01-12 11:00:00,8284.35,8288.05,8280.8,8281.35,0
2015-01-12 11:15:00,8280.9,8286.25,8276.1,8285.95,0
2015-01-12 11:30:00,8286.0,8289.55,8279.2,8280.95,0
2015-01-12 11:45:00,8281.05,8288.35,8279.8,8287.75,0
2015-01-12 12:00:00,8287.8,8293.9,8263.4,8268.6,0
2015-01-12 12:15:00,8268.95,8270.25,8252.5,8257.45,0
2015-01-12 12:30:00,8257.35,8268.1,8257.35,8268.1,0
2015-01-12 12:45:00,8267.8,8271.65,8262.75,8270.85,0
2015-01-12 13:00:00,8270.75,8275.4,8267.75,8272.8,0
2015-01-12 13:15:00,8272.85,8274.45,8265.65,8267.85,0
2015-01-12 13:30:00,8267.75,8281.65,8267.15,8277.55,0
2015-01-12 13:45:00,8277.85,8290.6,8277.5,8282.0,0
2015-01-12 14:00:00,8281.4,8293.35,8281.4,8283.3,0
2015-01-12 14:15:00,8283.3,8320.1,8282.15,8319.35,0
2015-01-12 14:30:00,8319.3,8322.25,8308.65,8310.3,0
2015-01-12 14:45:00,8310.35,8316.75,8301.25,8305.85,0
2015-01-12 15:00:00,8305.8,8323.6,8305.8,8319.95,0
2015-01-12 15:15:00,8319.55,8332.25,8318.6,8326.55,0
2015-01-13 09:15:00,8346.15,8355.9,8324.4,8330.95,0
2015-01-13 09:30:00,8331.45,8340.95,8322.0,8340.45,0
2015-01-13 09:45:00,8340.4,8349.95,8338.0,8339.7,0
2015-01-13 10:00:00,8340.0,8341.05,8333.1,8336.7,0
2015-01-13 10:15:00,8337.1,8339.2,8332.15,8337.9,0
2015-01-13 10:30:00,8337.85,8344.75,8336.1,8343.65,0
2015-01-13 10:45:00,8343.5,8344.7,8337.6,8337.95,0
2015-01-13 11:00:00,8338.1,8341.6,8335.2,8336.4,0
2015-01-13 11:15:00,8336.6,8338.75,8328.15,8329.3,0
2015-01-13 11:30:00,8329.45,8336.9,8323.3,8333.25,0
2015-01-13 11:45:00,8333.05,8343.4,8331.1,8338.5,0
2015-01-13 12:00:00,8338.6,8341.8,8335.45,8340.0,0
2015-01-13 12:15:00,8340.05,8342.95,8332.9,8335.65,0
2015-01-13 12:30:00,8335.65,8336.25,8321.3,8328.65,0
2015-01-13 12:45:00,8328.6,8333.45,8325.9,8332.6,0
2015-01-13 13:00:00,8332.65,8340.8,8332.3,8340.65,0
2015-01-13 13:15:00,8341.3,8356.25,8340.65,8352.15,0
2015-01-13 13:30:00,8351.95,8353.4,8341.2,8351.0,0
2015-01-13 13:45:00,8350.7,8356.65,8349.25,8352.4,0
2015-01-13 14:00:00,8352.5,8353.25,8339.25,8339.25,0
2015-01-13 14:15:00,8339.8,8343.0,8318.05,8318.05,0
2015-01-13 14:30:00,8317.55,8318.05,8271.3,8276.65,0
2015-01-13 14:45:00,8276.4,8283.95,8268.15,8281.75,0
2015-01-13 15:00:00,8281.0,8305.4,8274.75,8304.8,0
2015-01-13 15:15:00,8304.9,8309.3,8296.2,8303.8,0
2015-01-14 09:15:00,8307.25,8314.15,8286.85,8300.7,0
2015-01-14 09:30:00,8300.45,8323.3,8300.4,8318.5,0
2015-01-14 09:45:00,8318.45,8326.3,8310.8,8312.15,0
2015-01-14 10:00:00,8312.4,8312.55,8299.0,8304.0,0
2015-01-14 10:15:00,8304.25,8304.9,8290.3,8303.85,0
2015-01-14 10:30:00,8303.95,8305.15,8295.05,8298.65,0
2015-01-14 10:45:00,8298.65,8308.5,8298.6,8304.65,0
2015-01-14 11:00:00,8304.45,8304.75,8287.3,8290.1,0
2015-01-14 11:15:00,8290.2,8291.3,8278.55,8289.5,0
2015-01-14 11:30:00,8289.4,8291.75,8281.0,8288.9,0
2015-01-14 11:45:00,8288.55,8293.35,8281.95,8283.6,0
2015-01-14 12:00:00,8283.9,8288.7,8271.7,8274.9,0
2015-01-14 12:15:00,8274.75,8277.55,8247.15,8247.15,0
2015-01-14 12:30:00,8245.9,8254.0,8236.75,8253.85,0
2015-01-14 12:45:00,8253.6,8255.45,8243.4,8252.45,0
2015-01-14 13:00:00,8251.5,8257.9,8248.85,8257.9,0
2015-01-14 13:15:00,8258.2,8264.55,8251.25,8255.5,0
2015-01-14 13:30:00,8255.45,8260.1,8244.05,8259.35,0
2015-01-14 13:45:00,8259.25,8260.5,8247.4,8256.75,0
2015-01-14 14:00:00,8256.7,8291.95,8251.35,8280.45,0
2015-01-14 14:15:00,8281.6,8301.9,8280.45,8285.2,0
2015-01-14 14:30:00,8285.25,8285.4,8260.75,8261.45,0
2015-01-14 14:45:00,8261.25,8264.6,8252.2,8263.65,0
2015-01-14 15:00:00,8263.85,8281.0,8262.3,8272.8,0
2015-01-14 15:15:00,8273.05,8290.25,8269.0,8287.75,0
2015-01-15 09:15:00,8425.2,8452.65,8380.75,8416.9,0
2015-01-15 09:30:00,8416.55,8438.05,8406.35,8412.85,0
2015-01-15 09:45:00,8414.9,8424.15,8405.65,8422.35,0
2015-01-15 10:00:00,8422.35,8426.25,8404.3,8407.8,0
2015-01-15 10:15:00,8407.4,8412.85,8401.95,8408.45,0
2015-01-15 10:30:00,8408.1,8411.3,8399.1,8404.35,0
2015-01-15 10:45:00,8404.15,8420.1,8403.75,8418.85,0
2015-01-15 11:00:00,8419.25,8437.35,8417.1,8433.3,0
2015-01-15 11:15:00,8433.3,8436.75,8430.45,8431.95,0
2015-01-15 11:30:00,8431.8,8463.4,8430.8,8463.4,0
2015-01-15 11:45:00,8462.55,8468.55,8456.0,8463.4,0
2015-01-15 12:00:00,8463.65,8468.45,8453.55,8459.75,0
2015-01-15 12:15:00,8459.45,8464.55,8451.75,8460.3,0
2015-01-15 12:30:00,8459.55,8473.1,8459.45,8471.85,0
2015-01-15 12:45:00,8471.8,8482.95,8469.1,8475.85,0
2015-01-15 13:00:00,8475.5,8478.0,8470.05,8472.65,0
2015-01-15 13:15:00,8472.6,8479.5,8468.15,8476.5,0
2015-01-15 13:30:00,8476.45,8486.85,8476.1,8481.65,0
2015-01-15 13:45:00,8481.85,8481.9,8472.9,8479.4,0
2015-01-15 14:00:00,8478.55,8496.7,8475.6,8491.1,0
2015-01-15 14:15:00,8490.8,8494.3,8487.1,8491.35,0
2015-01-15 14:30:00,8491.6,8515.95,8491.4,8512.15,0
2015-01-15 14:45:00,8511.95,8526.9,8509.35,8516.55,0
2015-01-15 15:00:00,8516.5,8516.5,8497.8,8510.75,0
2015-01-15 15:15:00,8510.45,8511.0,8459.35,8461.15,0
2015-01-19 09:15:00,8553.4,8560.75,8552.8,8560.65,0
2015-01-19 09:30:00,8560.8,8561.15,8548.2,8553.95,0
2015-01-19 09:45:00,8554.05,8561.8,8553.35,8554.2,0
2015-01-19 10:00:00,8553.3,8565.8,8552.05,8560.3,0
2015-01-19 10:15:00,8560.4,8566.8,8556.85,8565.7,0
2015-01-19 10:30:00,8565.5,8570.8,8559.85,8560.0,0
2015-01-19 10:45:00,8560.6,8569.95,8554.75,8568.7,0
2015-01-19 11:00:00,8568.35,8569.7,8560.45,8566.7,0
2015-01-19 11:15:00,8566.55,8568.15,8550.75,8551.2,0
2015-01-19 11:30:00,8551.65,8553.3,8540.7,8545.0,0
2015-01-19 11:45:00,8544.8,8554.1,8544.3,8547.6,0
2015-01-19 12:00:00,8548.2,8555.2,8547.75,8551.0,0
2015-01-19 12:15:00,8551.35,8551.55,8531.7,8534.7,0
2015-01-19 12:30:00,8533.35,8545.35,8533.35,8539.6,0
2015-01-19 12:45:00,8540.15,8550.0,8539.55,8549.45,0
2015-01-19 13:00:00,8549.75,8556.8,8549.05,8553.4,0
2015-01-19 13:15:00,8553.45,8561.9,8552.25,8559.4,0
2015-01-19 13:30:00,8559.5,8560.85,8553.0,8556.4,0
2015-01-19 13:45:00,8556.15,8566.85,8554.45,8566.2,0
2015-01-19 14:00:00,8566.05,8568.25,8559.1,8564.55,0
2015-01-19 14:15:00,8564.15,8565.55,8556.15,8558.3,0
2015-01-19 14:30:00,8558.35,8560.7,8548.55,8556.7,0
2015-01-19 14:45:00,8556.8,8560.05,8543.45,8551.6,0
2015-01-19 15:00:00,8551.7,8557.45,8546.25,8551.45,0
2015-01-19 15:15:00,8550.85,8552.9,8546.4,8550.3,0
2015-01-20 09:15:00,8575.1,8587.25,8574.65,8584.55,0
2015-01-20 09:30:00,8584.8,8594.6,8579.75,8592.6,0
2015-01-20 09:45:00,8592.05,8596.75,8588.95,8590.95,0
2015-01-20 10:00:00,8591.6,8599.2,8591.15,8598.3,0
2015-01-20 10:15:00,8598.55,8601.85,8592.75,8595.1,0
2015-01-20 10:30:00,8595.1,8599.05,8592.85,8598.5,0
2015-01-20 10:45:00,8598.35,8604.9,8598.1,8600.85,0
2015-01-20 11:00:00,8601.15,8605.0,8599.25,8599.25,0
2015-01-20 11:15:00,8599.3,8601.6,8592.0,8596.7,0
2015-01-20 11:30:00,8596.05,8598.65,8593.85,8596.95,0
2015-01-20 11:45:00,8596.85,8607.75,8596.2,8605.3,0
2015-01-20 12:00:00,8605.5,8608.4,8599.1,8603.9,0
2015-01-20 12:15:00,8604.25,8616.55,8602.7,8615.3,0
2015-01-20 12:30:00,8615.3,8624.55,8614.5,8624.55,0
2015-01-20 12:45:00,8624.35,8629.3,8612.9,8616.65,0
2015-01-20 13:00:00,8616.85,8625.2,8616.25,8624.45,0
2015-01-20 13:15:00,8623.85,8626.4,8614.0,8626.05,0
2015-01-20 13:30:00,8625.95,8642.95,8624.75,8641.6,0
2015-01-20 13:45:00,8642.2,8649.3,8634.5,8645.45,0
2015-01-20 14:00:00,8645.55,8658.6,8642.25,8654.6,0
2015-01-20 14:15:00,8654.9,8670.85,8654.5,8663.95,0
2015-01-20 14:30:00,8663.95,8684.2,8660.05,8682.2,0
2015-01-20 14:45:00,8682.1,8694.9,8680.85,8692.45,0
2015-01-20 15:00:00,8692.9,8707.75,8689.15,8689.85,0
2015-01-20 15:15:00,8689.9,8696.9,8687.1,8691.25,0
2015-01-21 09:15:00,8719.65,8721.9,8699.9,8716.15,0
2015-01-21 09:30:00,8715.75,8732.25,8711.45,8730.1,0
2015-01-21 09:45:00,8730.2,8739.95,8723.6,8736.35,0
2015-01-21 10:00:00,8736.5,8741.5,8714.65,8715.75,0
2015-01-21 10:15:00,8716.25,8733.15,8713.1,8728.1,0
2015-01-21 10:30:00,8727.8,8728.0,8718.15,8718.25,0
2015-01-21 10:45:00,8717.75,8722.7,8703.2,8703.65,0
2015-01-21 11:00:00,8703.35,8710.45,8689.7,8704.5,0
2015-01-21 11:15:00,8704.85,8712.25,8696.4,8711.05,0
